,Restaurant Name,Rating,Review Count,Expected Cost,Price Range,Cuisines,Accepts Credit Cards,Address,Alcohol,Ambience,Attire,Bike Parking,Caters,Delivery,Good For,Good for Groups,Good for Kids,Has TV,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Review Count Num,Clean Rating
0,3 Guys Sushi,4.0 star rating,42 reviews,$$,$11-30,"['Japanese', 'Thai', 'Sushi Bars']",Yes,"530 Forest AveStaten Island, NY 10310",Full Bar,,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,,Free,42.0,4.0
1,3E Taste Of Thai,4.0 star rating,210 reviews,$$,$11-30,['Thai'],Yes,"34-16 BroadwayAstoria, NY 11106",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,Free,210.0,4.0
2,624 Kam Hai Chinese,2.5 star rating,21 reviews,$,Under $10,"['Chinese', 'Thai']",No,"624 Caton AveBrooklyn, NY 11218",No,,Casual,No,,Yes,,No,Yes,No,,No,,Yes,No,,,No,21.0,2.5
3,8 Paet Rio,3.5 star rating,58 reviews,$$,$11-30,['Thai'],Yes,"81-10 BroadwayElmhurst, NY 11373",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,,No,58.0,3.5
4,A & J,2.0 star rating,7 reviews,$$,,"['Sushi Bars', 'Thai', 'Asian Fusion']",Yes,"333 Flatbush AveSte 2Brooklyn, NY 11217",No,,,Yes,,Yes,,,,No,Average,No,,Yes,,Yes,,,7.0,2.0
5,A La Mode Oriental,2.0 star rating,27 reviews,$$,$11-30,['Thai'],Yes,"37 W 54th StNew York, NY 10019",No,,Casual,,No,Yes,Dinner,Yes,No,,,,,Yes,,,,,27.0,2.0
6,A+ Thai Place,3.0 star rating,143 reviews,$$,$11-30,['Thai'],Yes,"1007 2nd AveNew York, NY 10022",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,Free,143.0,3.0
7,A1 Asian Fusion,3.5 star rating,44 reviews,$$,$11-30,"['Asian Fusion', 'Japanese', 'Thai']",Yes,"2071 7th AveNew York, NY 10027",Full Bar,,Casual,No,,Yes,Lunch,Yes,Yes,No,Quiet,No,,Yes,,Yes,,No,44.0,3.5
8,Abaya Thai,3.0 star rating,35 reviews,$$,$11-30,['Thai'],Yes,"318 W 36th StNew York, NY 10018",Beer & Wine Only,Casual,Casual,Yes,No,Yes,Lunch,Yes,Yes,No,Quiet,No,,Yes,Yes,Yes,,No,35.0,3.0
9,Absolute Thai Homemade,4.0 star rating,104 reviews,$$,,['Thai'],Yes,"644 Anderson AveCliffside Park, NJ 07010",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,,Free,104.0,4.0
10,Absolute Thai,4.0 star rating,105 reviews,$$,$11-30,['Thai'],Yes,"1590 Lexington AveNew York, NY 10029",No,Casual,Casual,Yes,No,Yes,Lunch,No,No,No,Quiet,No,Street,Yes,No,No,No,No,105.0,4.0
11,Accent Thai Kitchen,3.5 star rating,74 reviews,$$,,['Thai'],Yes,"631 Mclean AveYonkers, NY 10705",Beer & Wine Only,Casual,Casual,No,No,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,74.0,3.5
12,Aceluck Thai Cuisine,3.5 star rating,142 reviews,$$,$11-30,['Thai'],Yes,"530 9th AveNew York, NY 10018",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,No,142.0,3.5
13,Ahana,4.0 star rating,73 reviews,$$,$11-30,"['Japanese', 'Chinese', 'Thai']",Yes,"1154 1st AveNew York, NY 10065",Beer & Wine Only,Casual,Casual,Yes,,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,,No,73.0,4.0
